Date,NSA Value
1992-11-30,67.07030093
1992-12-31,67.155658401
1993-01-31,67.238019797
1993-02-28,67.454669047
1993-03-31,67.879409832
1993-04-30,68.512275721
1993-05-31,69.332084869
1993-06-30,70.250095587
1993-07-31,70.980429458
1993-08-31,71.384378319
1993-09-30,71.640062753
1993-10-31,71.985293526
1993-11-30,72.412065833
1993-12-31,72.854563566
1994-01-31,73.391335847
1994-02-28,73.998955972
1994-03-31,74.664357345
1994-04-30,75.5292933
1994-05-31,76.55712756
1994-06-30,77.438832687
1994-07-31,78.024285902
1994-08-31,78.460114348
1994-09-30,78.811043795
1994-10-31,79.022968945
1994-11-30,79.187132036
1994-12-31,79.412319984
1995-01-31,79.763884543
1995-02-28,80.263411627
1995-03-31,80.891298032
1995-04-30,81.660619408
1995-05-31,82.407081336
1995-06-30,82.894066064
1995-07-31,83.155992413
1995-08-31,83.463376468
1995-09-30,83.972191393
1995-10-31,84.501503018
1995-11-30,84.833649818
1995-12-31,85.004592203
1996-01-31,85.174404987
1996-02-29,85.457312173
1996-03-31,85.819758629
1996-04-30,86.271522191
1996-05-31,86.765893887
1996-06-30,87.123758666
1996-07-31,87.212712532
1996-08-31,87.033045771
1996-09-30,86.69077707
1996-10-31,86.393870854
1996-11-30,86.327734044
1996-12-31,86.39285401
1997-01-31,86.483089458
1997-02-28,86.672867508
1997-03-31,87.075757616
1997-04-30,87.718109346
1997-05-31,88.482781756
1997-06-30,89.057540329
1997-07-31,89.255685237
1997-08-31,89.209787966
1997-09-30,89.135584566
1997-10-31,89.110165269
1997-11-30,89.119990553
1997-12-31,89.179974975
1998-01-31,89.27154439
1998-02-28,89.489552483
1998-03-31,89.938070373
1998-04-30,90.529745907
1998-05-31,91.097342458
1998-06-30,91.581596035
1998-07-31,92.027583353
1998-08-31,92.343723381
1998-09-30,92.238452662
1998-10-31,91.80000907
1998-11-30,91.467035831
1998-12-31,91.332036991
1999-01-31,91.258770589
1999-02-28,91.347790549
1999-03-31,91.870996473
1999-04-30,92.771062852
1999-05-31,93.758352409
1999-06-30,94.521513213
1999-07-31,94.924520074
1999-08-31,95.135092119
1999-09-30,95.295385508
1999-10-31,95.449127384
1999-11-30,95.633136587
1999-12-31,95.792060457
2000-01-31,95.942172379
2000-02-29,96.256501267
2000-03-31,96.765446354
2000-04-30,97.384381588
2000-05-31,97.926859166
2000-06-30,98.14714736
2000-07-31,98.180273712
2000-08-31,98.482365181
2000-09-30,99.181891688
2000-10-31,99.877261954
2000-11-30,100.14403794
2000-12-31,100.0
2001-01-31,99.813085344
2001-02-28,100.03066581
2001-03-31,100.74737345
2001-04-30,101.73818663
2001-05-31,102.68847937
2001-06-30,103.43387625
2001-07-31,104.03526479
2001-08-31,104.61026373
2001-09-30,105.19947142
2001-10-31,105.64983838
2001-11-30,105.97205703
2001-12-31,106.42368821
2002-01-31,107.07401141
2002-02-28,107.72384852
2002-03-31,108.3047379
2002-04-30,108.935974
2002-05-31,109.76369959
2002-06-30,110.81558901
2002-07-31,111.86658414
2002-08-31,112.6476201
2002-09-30,113.09461734
2002-10-31,113.21083768
